Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-09-22,32290,2690,23552,1371,12,0.88,0,0,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-09-23,32315,2937,30543,1058,11,1.04,3,10771,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-09-24,55235,3068,36603,1509,18,1.19,0,0,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-09-25,118521,3039,22679,5226,39,0.75,3,39507,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-09-26,218208,3409,20492,10648,64,0.6,4,54552,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-09-27,208383,2289,9148,22779,91,0.4,0,0,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-09-28,340874,2938,15706,21703,116,0.53,3,113624,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-09-29,141671,2724,18636,7602,52,0.68,3,47223,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-09-30,145823,4418,23387,6235,33,0.53,1,145823,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-01,156251,2200,19480,8021,71,0.89,1,156251,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-02,146891,3416,21522,6825,43,0.63,1,146891,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-03,88360,3681,26898,3285,24,0.73,0,0,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-04,158800,2268,26716,5944,70,1.18,6,26466,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-05,304144,1661,23781,12789,183,1.43,16,19009,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-06,262489,2548,21797,12042,103,0.86,10,26248,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-07,246267,1986,18730,13148,124,0.94,7,35181,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-08,271807,2343,21239,12797,116,0.91,7,38829,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-09,268162,3623,26062,10289,74,0.72,7,38308,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-10,312265,4055,35176,8877,77,0.87,13,24020,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-11,261943,3155,23989,10919,83,0.76,9,29104,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-12,198345,4047,28302,7008,49,0.7,6,33057,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-13,171160,5521,34809,4917,31,0.63,3,57053,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-14,136430,3410,23522,5800,40,0.69,1,136430,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-15,117575,3265,23510,5001,36,0.72,6,19595,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-16,103033,2862,19334,5329,36,0.68,3,34344,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-17,143866,3596,16276,8839,40,0.45,2,71933,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-18,165709,2761,14406,11502,60,0.52,4,41427,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-19,221357,3208,17752,12469,69,0.55,3,73785,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-20,245582,3665,20597,11923,67,0.56,1,245582,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-21,238238,3842,22205,10729,62,0.58,5,47647,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-22,184138,6137,27324,6739,30,0.45,1,184138,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-23,241277,4159,29994,8044,58,0.72,3,80425,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-24,225016,3750,26119,8615,60,0.7,6,37502,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 5,2023-10-24,51956,3463,20295,2560,15,0.59,2,25978,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-25,152593,5261,21386,7135,29,0.41,1,152593,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 5,2023-10-25,137063,3263,16228,8446,42,0.5,2,68531,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-26,177374,3695,16765,10580,48,0.45,1,177374,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 5,2023-10-26,162277,6010,22504,7211,27,0.37,0,0,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-27,206461,4488,20310,10165,46,0.45,4,51615,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 5,2023-10-27,61829,6869,26765,2310,9,0.39,1,61829,IDR
Campaign Name 5,Ad Group Name 5,Ad Name 5,2023-10-28,192942,3384,21661,8907,57,0.64,4,48235,IDR
