Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-09-22,20324,2540,16496,1232,8,0.65,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-09-23,54771,3042,18821,2910,18,0.62,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-09-24,38806,3233,21511,1804,12,0.67,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-09-25,81752,2554,19525,4187,32,0.76,3,27250,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-09-26,129344,2309,15152,8536,56,0.66,2,64672,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-09-27,137835,1420,9407,14652,97,0.66,1,137835,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-09-28,140597,2267,16688,8425,62,0.74,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-09-29,58613,2930,19828,2956,20,0.68,2,29306,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-09-30,52800,2400,16582,3184,22,0.69,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-01,57790,2407,11340,5096,24,0.47,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-02,71579,1350,14868,4814,53,1.1,2,35789,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-03,72177,1640,14484,4983,44,0.88,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-04,59556,827,10287,5789,72,1.24,2,29778,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-05,60514,877,11048,5477,69,1.26,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-06,58654,1725,12643,4639,34,0.73,3,19551,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-07,49232,1025,13930,3534,48,1.36,1,49232,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-08,49983,1922,13122,3809,26,0.68,2,24991,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-09,35500,2730,13834,2566,13,0.51,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-10,30183,1207,16749,1802,25,1.39,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-11,17055,1705,15309,1114,10,0.9,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-12,10768,2692,15449,697,4,0.57,0,0,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-13,10793,2158,21981,491,5,1.02,1,10793,IDR
Campaign Name 6,Ad Group Name 6,Ad Name 6,2023-10-14,10318,2063,13027,792,5,0.63,0,0,IDR
