Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-09-29,1049,0,11655,90,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-09-29,667,0,8662,77,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-09-30,94330,3773,24076,3918,25,0.64,1,94330,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-09-30,57177,4084,22617,2528,14,0.55,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-01,102909,3430,22430,4588,30,0.65,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-01,34424,4917,23290,1478,7,0.47,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-02,102080,4438,34958,2920,23,0.79,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-02,27523,5504,22954,1199,5,0.42,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-03,501,0,35785,14,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-03,48,0,9600,5,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-04,0,0,0,0,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-04,0,0,0,0,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-05,0,0,0,0,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Copy 1 of Zymuno brif 4.mov_2023-06-24 00:14:38,2023-10-05,0,0,0,0,0,0.0,0,0,IDR
