Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-06-24,55343,2767,10989,5036,20,0.4,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-06-25,53849,2991,14317,3761,18,0.48,2,26924,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-06-26,38277,1913,8617,4442,20,0.45,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-06-27,70410,2133,14820,4751,33,0.69,4,17602,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-06-28,78266,2236,12472,6275,35,0.56,1,78266,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-06-29,196864,2853,18003,10935,69,0.63,6,32810,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-06-30,166365,3781,13874,11991,44,0.37,4,41591,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-01,453035,1612,7713,58729,281,0.48,6,75505,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-02,302415,2175,10302,29353,139,0.47,4,75603,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-03,197936,2537,12193,16233,78,0.48,1,197936,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-04,87808,3658,21062,4169,24,0.58,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-05,99636,2622,21883,4553,38,0.83,1,99636,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-06,193360,2222,13888,13922,87,0.62,5,38672,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-07,160924,3423,12417,12959,47,0.36,3,53641,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-08,390493,2324,10459,37335,168,0.45,8,48811,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-09,345577,1585,9007,38367,218,0.57,2,172788,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-10,256566,2618,17760,14446,98,0.68,5,51313,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-11,220898,1904,10907,20252,116,0.57,7,31556,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-12,364597,1822,11616,31387,200,0.64,6,60766,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-13,299158,2822,14480,20660,106,0.51,4,74789,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-14,372407,2568,14172,26276,145,0.55,4,93101,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-15,285033,2035,8904,32009,140,0.44,3,95011,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-16,379129,1822,7840,48355,208,0.43,4,94782,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-17,221707,2052,8115,27320,108,0.4,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-18,194283,1734,11208,17334,112,0.65,3,64761,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-19,162033,1906,10768,15047,85,0.56,5,32406,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-20,197316,2121,8617,22898,93,0.41,1,197316,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-21,135392,840,4548,29764,161,0.54,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-22,142572,1620,8842,16124,88,0.55,1,142572,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-23,148852,1884,8877,16767,79,0.47,1,148852,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-24,91221,2400,7631,11953,38,0.32,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-25,0,0,0,0,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-26,0,0,0,0,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-27,0,0,0,0,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-28,0,0,0,0,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-29,71499,1743,10709,6676,41,0.61,1,71499,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-30,54393,3199,12732,4272,17,0.4,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-07-31,9220,3073,13843,666,3,0.45,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-08-01,0,0,0,0,0,0.0,0,0,IDR
Konversi 09 10 sept lapor fajri,Ad group1,Zymuno brif 4.mov_2023-06-24 00:14:38,2023-08-02,0,0,0,0,0,0.0,0,0,IDR
