Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-11,70764,4162,21256,3329,17,0.51,1,70764,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-12,135838,2226,15620,8696,61,0.7,2,67919,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-13,92896,1548,8081,11495,60,0.52,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-14,20888,1492,8681,2406,14,0.58,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-15,101604,1354,9959,10202,75,0.74,4,25401,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-16,156854,876,4282,36629,179,0.49,1,156854,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-17,127060,1323,7396,17178,96,0.56,2,63530,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-18,118996,1352,9429,12619,88,0.7,2,59498,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-19,124510,1617,9332,13342,77,0.58,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-20,82398,1084,5282,15598,76,0.49,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-21,64122,1781,9849,6510,36,0.55,3,21374,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-22,6,0,3000,2,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-23,96,0,9600,10,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-24,87346,2729,10874,8032,32,0.4,1,87346,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-25,116768,2432,12612,9258,48,0.52,2,58384,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-26,242833,2961,15937,15237,82,0.54,4,60708,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-27,200512,2415,14625,13710,83,0.61,3,66837,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-28,179312,3383,13399,13382,53,0.4,1,179312,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-29,11,0,5500,2,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-30,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-08-31,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-09-01,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-09-02,37,0,7400,5,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-09-15,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-09-28,51490,3432,16545,3112,15,0.48,1,51490,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-09-29,69879,2495,15037,4647,28,0.6,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-09-30,93762,3472,18195,5153,27,0.52,2,46881,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-01,127612,2278,13821,9233,56,0.61,2,63806,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-02,135419,3302,18719,7234,41,0.57,2,67709,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-03,122050,3814,24025,5080,32,0.63,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-04,157568,1945,19071,8262,81,0.98,5,31513,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-05,125911,1635,14126,8913,77,0.86,3,41970,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-06,149249,2072,13710,10886,72,0.66,7,21321,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-07,156535,2144,11386,13747,73,0.53,7,22362,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-08,125033,1373,8678,14407,91,0.63,5,25006,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-09,231975,2296,12800,18123,101,0.56,9,25775,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-10,171433,2040,10481,16356,84,0.51,5,34286,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-11,245556,2029,8885,27637,121,0.44,7,35079,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-12,154432,1443,6599,23399,107,0.46,2,77216,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-13,208846,2373,9751,21416,88,0.41,2,104423,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-14,214233,2303,9628,22251,93,0.42,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-15,200047,2410,11921,16780,83,0.49,1,200047,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-16,230200,2913,12490,18430,79,0.43,3,76733,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-17,117016,2489,11990,9759,47,0.48,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-18,163830,2874,12955,12646,57,0.45,4,40957,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-19,131121,2341,10978,11943,56,0.47,2,65560,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-20,49541,2752,13815,3586,18,0.5,1,49541,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-21,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-22,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-23,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-24,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-25,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-10-30,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2023-11-13,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2024-01-06,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 9,Ad Group Name 9,Ad Name 9,2024-03-16,0,0,0,0,0,0.0,0,0,IDR
